province_code,province_name,district_code,district_name,ward_code,ward_name,ward_type,full_address
89,An Giang,892,Châu Thành,30625,Vĩnh Thành,Xã,"Xã Vĩnh Thành, Huyện Châu Thành, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30670,An Thạnh Trung,Xã,"Xã An Thạnh Trung, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30667,Bình Phước Xuân,Xã,"Xã Bình Phước Xuân, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30628,Chợ Mới,Thị trấn,"Thị trấn Chợ Mới, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30679,Hòa An,Xã,"Xã Hòa An, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30676,Hòa Bình,Xã,"Xã Hòa Bình, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30673,Hội An,Thị trấn,"Thị trấn Hội An, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30634,Kiến An,Xã,"Xã Kiến An, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30649,Kiến Thành,Xã,"Xã Kiến Thành, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30640,Long Điền A,Xã,"Xã Long Điền A, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30646,Long Điền B,Xã,"Xã Long Điền B, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30661,Long Giang,Xã,"Xã Long Giang, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30664,Long Kiến,Xã,"Xã Long Kiến, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30655,Mỹ An,Xã,"Xã Mỹ An, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30652,Mỹ Hiệp,Xã,"Xã Mỹ Hiệp, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30637,Mỹ Hội Đông,Xã,"Xã Mỹ Hội Đông, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30631,Mỹ Luông,Thị trấn,"Thị trấn Mỹ Luông, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30658,Nhơn Mỹ,Xã,"Xã Nhơn Mỹ, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,893,Chợ Mới,30643,Tấn Mỹ,Xã,"Xã Tấn Mỹ, Huyện Chợ Mới, Tỉnh An Giang"
89,An Giang,883,Long Xuyên,30289,Bình Đức,Phường,"Phường Bình Đức, Thành phố Long Xuyên, Tỉnh An Giang"
89,An Giang,883,Long Xuyên,30292,Bình Khánh,Phường,"Phường Bình Khánh, Thành phố Long Xuyên, Tỉnh An Giang"
89,An Giang,883,Long Xuyên,30280,Mỹ Bình,Phường,"Phường Mỹ Bình, Thành phố Long Xuyên, Tỉnh An Giang"
