province_code,province_name,district_code,district_name,district_type
94,Sóc Trăng,945,Cù Lao Dung,Huyện
94,Sóc Trăng,943,Kế Sách,Huyện
94,Sóc Trăng,946,Long Phú,Huyện
94,Sóc Trăng,944,Mỹ Tú,Huyện
94,Sóc Trăng,947,Mỹ Xuyên,Huyện
94,Sóc Trăng,948,Ngã Năm,Thị xã
94,Sóc Trăng,941,Sóc Trăng,Thành phố
94,Sóc Trăng,949,Thạnh Trị,Huyện
94,Sóc Trăng,951,Trần Đề,Huyện
94,Sóc Trăng,950,Vĩnh Châu,Thị xã
14,Sơn La,121,Bắc Yên,Huyện
14,Sơn La,125,Mai Sơn,Huyện
14,Sơn La,123,Mộc Châu,Thị xã
14,Sơn La,120,Mường La,Huyện
14,Sơn La,122,Phù Yên,Huyện
14,Sơn La,118,Quỳnh Nhai,Huyện
14,Sơn La,116,Sơn La,Thành phố
14,Sơn La,126,Sông Mã,Huyện
14,Sơn La,127,Sốp Cộp,Huyện
14,Sơn La,119,Thuận Châu,Huyện
14,Sơn La,128,Vân Hồ,Huyện
14,Sơn La,124,Yên Châu,Huyện
72,Tây Ninh,711,Bến Cầu,Huyện
72,Tây Ninh,708,Châu Thành,Huyện
72,Tây Ninh,707,Dương Minh Châu,Huyện
72,Tây Ninh,710,Gò Dầu,Huyện
72,Tây Ninh,709,Hòa Thành,Thị xã
72,Tây Ninh,705,Tân Biên,Huyện
72,Tây Ninh,706,Tân Châu,Huyện
72,Tây Ninh,703,Tây Ninh,Thành phố
72,Tây Ninh,712,Trảng Bàng,Thị xã
34,Thái Bình,340,Đông Hưng,Huyện
34,Thái Bình,339,Hưng Hà,Huyện
34,Thái Bình,343,Kiến Xương,Huyện
34,Thái Bình,338,Quỳnh Phụ,Huyện
34,Thái Bình,336,Thái Bình,Thành phố
34,Thái Bình,341,Thái Thụy,Huyện
34,Thái Bình,342,Tiền Hải,Huyện
34,Thái Bình,344,Vũ Thư,Huyện
19,Thái Nguyên,171,Đại Từ,Huyện
19,Thái Nguyên,167,Định Hóa,Huyện
19,Thái Nguyên,169,Đồng Hỷ,Huyện
19,Thái Nguyên,172,Phổ Yên,Thành phố
19,Thái Nguyên,173,Phú Bình,Huyện
19,Thái Nguyên,168,Phú Lương,Huyện
19,Thái Nguyên,165,Sông Công,Thành phố
19,Thái Nguyên,164,Thái Nguyên,Thành phố
19,Thái Nguyên,170,Võ Nhai,Huyện
38,Thanh Hóa,386,Bá Thước,Huyện
38,Thanh Hóa,381,Bỉm Sơn,Thị xã
38,Thanh Hóa,390,Cẩm Thủy,Huyện
38,Thanh Hóa,392,Hà Trung,Huyện
38,Thanh Hóa,400,Hậu Lộc,Huyện
38,Thanh Hóa,399,Hoằng Hóa,Huyện
38,Thanh Hóa,388,Lang Chánh,Huyện
38,Thanh Hóa,384,Mường Lát,Huyện
38,Thanh Hóa,401,Nga Sơn,Huyện
38,Thanh Hóa,407,Nghi Sơn,Thị xã
38,Thanh Hóa,389,Ngọc Lặc,Huyện
38,Thanh Hóa,403,Như Thanh,Huyện
38,Thanh Hóa,402,Như Xuân,Huyện
38,Thanh Hóa,404,Nông Cống,Huyện
38,Thanh Hóa,385,Quan Hóa,Huyện
38,Thanh Hóa,387,Quan Sơn,Huyện
38,Thanh Hóa,406,Quảng Xương,Huyện
38,Thanh Hóa,382,Sầm Sơn,Thành phố
38,Thanh Hóa,391,Thạch Thành,Huyện
38,Thanh Hóa,380,Thanh Hóa,Thành phố
38,Thanh Hóa,398,Thiệu Hóa,Huyện
38,Thanh Hóa,395,Thọ Xuân,Huyện
38,Thanh Hóa,396,Thường Xuân,Huyện
38,Thanh Hóa,397,Triệu Sơn,Huyện
38,Thanh Hóa,393,Vĩnh Lộc,Huyện
38,Thanh Hóa,394,Yên Định,Huyện
46,Thừa Thiên Huế,481,A Lưới,Huyện
46,Thừa Thiên Huế,479,Hương Thủy,Thị xã
46,Thừa Thiên Huế,480,Hương Trà,Thị xã
46,Thừa Thiên Huế,476,Phong Điền,Thị xã
46,Thừa Thiên Huế,482,Phú Lộc,Huyện
46,Thừa Thiên Huế,478,Phú Vang,Huyện
46,Thừa Thiên Huế,475,Phú Xuân,Quận
46,Thừa Thiên Huế,477,Quảng Điền,Huyện
46,Thừa Thiên Huế,474,Thuận Hóa,Quận
82,Tiền Giang,819,Cái Bè,Huyện
82,Tiền Giang,817,Cai Lậy,Thị xã
82,Tiền Giang,820,Cai Lậy,Huyện
82,Tiền Giang,821,Châu Thành,Huyện
82,Tiền Giang,822,Chợ Gạo,Huyện
82,Tiền Giang,816,Gò Công,Thành phố
82,Tiền Giang,824,Gò Công Đông,Huyện
82,Tiền Giang,823,Gò Công Tây,Huyện
82,Tiền Giang,815,Mỹ Tho,Thành phố
82,Tiền Giang,825,Tân Phú Đông,Huyện
82,Tiền Giang,818,Tân Phước,Huyện
84,Trà Vinh,844,Càng Long,Huyện
84,Trà Vinh,845,Cầu Kè,Huyện
84,Trà Vinh,848,Cầu Ngang,Huyện
84,Trà Vinh,847,Châu Thành,Huyện
84,Trà Vinh,850,Duyên Hải,Huyện
84,Trà Vinh,851,Duyên Hải,Thị xã
84,Trà Vinh,846,Tiểu Cần,Huyện
84,Trà Vinh,849,Trà Cú,Huyện
84,Trà Vinh,842,Trà Vinh,Thành phố
08,Tuyên Quang,073,Chiêm Hóa,Huyện
08,Tuyên Quang,074,Hàm Yên,Huyện
08,Tuyên Quang,071,Lâm Bình,Huyện
08,Tuyên Quang,072,Na Hang,Huyện
08,Tuyên Quang,076,Sơn Dương,Huyện
08,Tuyên Quang,070,Tuyên Quang,Thành phố
08,Tuyên Quang,075,Yên Sơn,Huyện
86,Vĩnh Long,859,Vũng Liêm,Huyện
86,Vĩnh Long,861,Bình Minh,Thị xã
86,Vĩnh Long,863,Bình Tân,Huyện
86,Vĩnh Long,857,Long Hồ,Huyện
86,Vĩnh Long,858,Mang Thít,Huyện
86,Vĩnh Long,860,Tam Bình,Huyện
86,Vĩnh Long,862,Trà Ôn,Huyện
86,Vĩnh Long,855,Vĩnh Long,Thành phố
26,Vĩnh Phúc,249,Bình Xuyên,Huyện
26,Vĩnh Phúc,246,Lập Thạch,Huyện
26,Vĩnh Phúc,244,Phúc Yên,Thành phố
26,Vĩnh Phúc,253,Sông Lô,Huyện
26,Vĩnh Phúc,247,Tam Dương,Huyện
26,Vĩnh Phúc,248,Tam Đảo,Huyện
26,Vĩnh Phúc,252,Vĩnh Tường,Huyện
26,Vĩnh Phúc,243,Vĩnh Yên,Thành phố
26,Vĩnh Phúc,251,Yên Lạc,Huyện
15,Yên Bái,135,Lục Yên,Huyện
15,Yên Bái,137,Mù Căng Chải,Huyện
15,Yên Bái,133,Nghĩa Lộ,Thị xã
15,Yên Bái,139,Trạm Tấu,Huyện
15,Yên Bái,138,Trấn Yên,Huyện
15,Yên Bái,140,Văn Chấn,Huyện
15,Yên Bái,136,Văn Yên,Huyện
15,Yên Bái,132,Yên Bái,Thành phố
15,Yên Bái,141,Yên Bình,Huyện
