province_code,province_name,ward_code,ward_name,ward_type,full_address
91,An Giang,30850,Tân Hiệp,Xã,"Xã Tân Hiệp, Tỉnh An Giang"
91,An Giang,30856,Tân Hội,Xã,"Xã Tân Hội, Tỉnh An Giang"
91,An Giang,31031,Tân Thạnh,Xã,"Xã Tân Thạnh, Tỉnh An Giang"
91,An Giang,30691,Tây Phú,Xã,"Xã Tây Phú, Tỉnh An Giang"
91,An Giang,30988,Tây Yên,Xã,"Xã Tây Yên, Tỉnh An Giang"
91,An Giang,30874,Thạnh Đông,Xã,"Xã Thạnh Đông, Tỉnh An Giang"
91,An Giang,30910,Thạnh Hưng,Xã,"Xã Thạnh Hưng, Tỉnh An Giang"
91,An Giang,30886,Thạnh Lộc,Xã,"Xã Thạnh Lộc, Tỉnh An Giang"
91,An Giang,30481,Thạnh Mỹ Tây,Xã,"Xã Thạnh Mỹ Tây, Tỉnh An Giang"
91,An Giang,30682,Thoại Sơn,Xã,"Xã Thoại Sơn, Tỉnh An Giang"
91,An Giang,30502,Thới Sơn,Phường,"Phường Thới Sơn, Tỉnh An Giang"
91,An Giang,30781,Tiên Hải,Xã,"Xã Tiên Hải, Tỉnh An Giang"
91,An Giang,30520,Tịnh Biên,Phường,"Phường Tịnh Biên, Tỉnh An Giang"
91,An Giang,30766,Tô Châu,Phường,"Phường Tô Châu, Tỉnh An Giang"
91,An Giang,30544,Tri Tôn,Xã,"Xã Tri Tôn, Tỉnh An Giang"
91,An Giang,31027,U Minh Thượng,Xã,"Xã U Minh Thượng, Tỉnh An Giang"
91,An Giang,31042,Vân Khánh,Xã,"Xã Vân Khánh, Tỉnh An Giang"
91,An Giang,30604,Vĩnh An,Xã,"Xã Vĩnh An, Tỉnh An Giang"
91,An Giang,31064,Vĩnh Bình,Xã,"Xã Vĩnh Bình, Tỉnh An Giang"
91,An Giang,30793,Vĩnh Điều,Xã,"Xã Vĩnh Điều, Tỉnh An Giang"
91,An Giang,30568,Vĩnh Gia,Xã,"Xã Vĩnh Gia, Tỉnh An Giang"
91,An Giang,30619,Vĩnh Hanh,Xã,"Xã Vĩnh Hanh, Tỉnh An Giang"
91,An Giang,30367,Vĩnh Hậu,Xã,"Xã Vĩnh Hậu, Tỉnh An Giang"
91,An Giang,31012,Vĩnh Hòa,Xã,"Xã Vĩnh Hòa, Tỉnh An Giang"
91,An Giang,30970,Vĩnh Hòa Hưng,Xã,"Xã Vĩnh Hòa Hưng, Tỉnh An Giang"
91,An Giang,31051,Vĩnh Phong,Xã,"Xã Vĩnh Phong, Tỉnh An Giang"
91,An Giang,30325,Vĩnh Tế,Phường,"Phường Vĩnh Tế, Tỉnh An Giang"
91,An Giang,30478,Vĩnh Thạnh Trung,Xã,"Xã Vĩnh Thạnh Trung, Tỉnh An Giang"
91,An Giang,30760,Vĩnh Thông,Phường,"Phường Vĩnh Thông, Tỉnh An Giang"
91,An Giang,31069,Vĩnh Thuận,Xã,"Xã Vĩnh Thuận, Tỉnh An Giang"
91,An Giang,30697,Vĩnh Trạch,Xã,"Xã Vĩnh Trạch, Tỉnh An Giang"
91,An Giang,30982,Vĩnh Tuy,Xã,"Xã Vĩnh Tuy, Tỉnh An Giang"
91,An Giang,30385,Vĩnh Xương,Xã,"Xã Vĩnh Xương, Tỉnh An Giang"
24,Bắc Ninh,07654,An Lạc,Xã,"Xã An Lạc, Tỉnh Bắc Ninh"
24,Bắc Ninh,07210,Bắc Giang,Phường,"Phường Bắc Giang, Tỉnh Bắc Ninh"
24,Bắc Ninh,07498,Bắc Lũng,Xã,"Xã Bắc Lũng, Tỉnh Bắc Ninh"
24,Bắc Ninh,07462,Bảo Đài,Xã,"Xã Bảo Đài, Tỉnh Bắc Ninh"
24,Bắc Ninh,07573,Biển Động,Xã,"Xã Biển Động, Tỉnh Bắc Ninh"
24,Bắc Ninh,07537,Biên Sơn,Xã,"Xã Biên Sơn, Tỉnh Bắc Ninh"
24,Bắc Ninh,07294,Bố Hạ,Xã,"Xã Bố Hạ, Tỉnh Bắc Ninh"
24,Bắc Ninh,09295,Bồng Lai,Phường,"Phường Bồng Lai, Tỉnh Bắc Ninh"
24,Bắc Ninh,07519,Cẩm Lý,Xã,"Xã Cẩm Lý, Tỉnh Bắc Ninh"
24,Bắc Ninh,07738,Cảnh Thụy,Phường,"Phường Cảnh Thụy, Tỉnh Bắc Ninh"
24,Bắc Ninh,09466,Cao Đức,Xã,"Xã Cao Đức, Tỉnh Bắc Ninh"
24,Bắc Ninh,09313,Chi Lăng,Xã,"Xã Chi Lăng, Tỉnh Bắc Ninh"
24,Bắc Ninh,07525,Chũ,Phường,"Phường Chũ, Tỉnh Bắc Ninh"
24,Bắc Ninh,07672,Dương Hưu,Xã,"Xã Dương Hưu, Tỉnh Bắc Ninh"
24,Bắc Ninh,07228,Đa Mai,Phường,"Phường Đa Mai, Tỉnh Bắc Ninh"
24,Bắc Ninh,09340,Đại Đồng,Xã,"Xã Đại Đồng, Tỉnh Bắc Ninh"
24,Bắc Ninh,09469,Đại Lai,Xã,"Xã Đại Lai, Tỉnh Bắc Ninh"
24,Bắc Ninh,07627,Đại Sơn,Xã,"Xã Đại Sơn, Tỉnh Bắc Ninh"
24,Bắc Ninh,09301,Đào Viên,Phường,"Phường Đào Viên, Tỉnh Bắc Ninh"
24,Bắc Ninh,07594,Đèo Gia,Xã,"Xã Đèo Gia, Tỉnh Bắc Ninh"
24,Bắc Ninh,09487,Đông Cứu,Xã,"Xã Đông Cứu, Tỉnh Bắc Ninh"
24,Bắc Ninh,07282,Đồng Kỳ,Xã,"Xã Đồng Kỳ, Tỉnh Bắc Ninh"
24,Bắc Ninh,09385,Đồng Nguyên,Phường,"Phường Đồng Nguyên, Tỉnh Bắc Ninh"
24,Bắc Ninh,07450,Đông Phú,Xã,"Xã Đông Phú, Tỉnh Bắc Ninh"
24,Bắc Ninh,07735,Đồng Việt,Xã,"Xã Đồng Việt, Tỉnh Bắc Ninh"
