industry,category,skill_name,alias1,alias2,alias3,alias4
Luat,Dich vu phap ly (Agency/Firm),thu ky van phong luat su,law office secretary,legal secretary,,
Luat,Dich vu phap ly (Agency/Firm),chuyen vien phap ly,legal specialist,,,
Luat,Dich vu phap ly (Agency/Firm),thu ky cong chung vien,notary secretary,,,
Luat,Dich vu phap ly (Agency/Firm),chuyen mon phap ly khac,,,,
Luat,Dich vu phap che (In-house),giam doc phap che,chief legal officer,general counsel,,
Luat,Dich vu phap che (In-house),chuyen mon phap che khac,,,,
